user_id,signup_date,city_tier,segment,preferred_device,lifetime_orders,total_ltv,first_order_date,last_order_date,repeat_flag,user_value_band
U000001,2025-07-16,1,premium,mobile,0.0,0.0,0,0,0,low
U000002,2025-12-29,3,regular,mobile,1.0,11632.7,2025-11-14 09:34:01,2025-11-14 09:34:01,0,high
U000003,2025-11-26,3,value,mobile,0.0,0.0,0,0,0,low
U000004,2025-09-01,2,value,mobile,1.0,9153.61,2025-11-06 14:06:09,2025-11-06 14:06:09,0,high
U000005,2025-10-06,1,regular,web,0.0,0.0,0,0,0,low
U000006,2025-11-09,1,value,web,0.0,0.0,0,0,0,low
U000007,2025-06-28,2,value,web,0.0,0.0,0,0,0,low
U000008,2025-10-06,2,premium,mobile,0.0,0.0,0,0,0,low
U000009,2025-11-24,2,value,mobile,0.0,0.0,0,0,0,low
U000010,2025-08-01,1,premium,mobile,0.0,0.0,0,0,0,low
U000011,2025-09-24,2,regular,web,0.0,0.0,0,0,0,low
U000012,2025-10-13,3,regular,web,0.0,0.0,0,0,0,low
U000013,2025-11-24,2,regular,mobile,1.0,5763.81,2025-12-04 17:09:01,2025-12-04 17:09:01,0,high
U000014,2026-01-11,2,value,mobile,0.0,0.0,0,0,0,low
U000015,2025-12-18,1,regular,web,0.0,0.0,0,0,0,low
U000016,2025-10-31,2,value,web,0.0,0.0,0,0,0,low
U000017,2025-10-24,2,premium,web,2.0,18172.43,2025-11-09 03:06:16,2026-01-15 05:17:35,1,high
U000018,2025-10-28,3,value,web,0.0,0.0,0,0,0,low
U000019,2025-10-15,3,value,web,1.0,7555.56,2025-12-21 04:16:33,2025-12-21 04:16:33,0,high
U000020,2025-07-05,3,regular,web,0.0,0.0,0,0,0,low
U000021,2025-11-17,3,regular,mobile,0.0,0.0,0,0,0,low
U000022,2025-11-20,3,regular,web,0.0,0.0,0,0,0,low
U000023,2025-10-09,3,regular,web,0.0,0.0,0,0,0,low
U000024,2025-12-23,1,value,web,0.0,0.0,0,0,0,low
U000025,2025-11-11,1,regular,mobile,0.0,0.0,0,0,0,low
U000026,2025-09-07,2,value,web,0.0,0.0,0,0,0,low
U000027,2025-06-27,2,value,web,0.0,0.0,0,0,0,low
U000028,2025-07-05,1,value,web,0.0,0.0,0,0,0,low
U000029,2025-09-05,3,value,mobile,0.0,0.0,0,0,0,low
U000030,2025-09-28,2,value,mobile,0.0,0.0,0,0,0,low
U000031,2025-07-28,2,regular,web,0.0,0.0,0,0,0,low
U000032,2025-08-02,1,value,web,0.0,0.0,0,0,0,low
U000033,2025-08-10,2,value,web,0.0,0.0,0,0,0,low
U000034,2025-12-04,1,regular,mobile,0.0,0.0,0,0,0,low
U000035,2025-12-02,3,value,mobile,0.0,0.0,0,0,0,low
U000036,2025-09-11,2,regular,web,0.0,0.0,0,0,0,low
U000037,2025-07-29,3,premium,web,1.0,4987.15,2025-11-29 23:36:12,2025-11-29 23:36:12,0,high
U000038,2025-07-16,2,regular,mobile,0.0,0.0,0,0,0,low
U000039,2025-07-11,2,premium,mobile,0.0,0.0,0,0,0,low
U000040,2025-09-13,2,value,web,1.0,7716.68,2026-01-18 07:26:40,2026-01-18 07:26:40,0,high
U000041,2025-07-03,3,value,web,1.0,7521.55,2025-11-06 12:43:35,2025-11-06 12:43:35,0,high
U000042,2025-09-01,3,regular,web,1.0,595.56,2026-01-11 04:13:19,2026-01-11 04:13:19,0,high
U000043,2026-01-11,1,regular,mobile,0.0,0.0,0,0,0,low
U000044,2025-10-08,3,regular,mobile,0.0,0.0,0,0,0,low
U000045,2025-12-13,1,value,mobile,0.0,0.0,0,0,0,low
U000046,2025-07-20,3,regular,mobile,0.0,0.0,0,0,0,low
U000047,2025-08-18,1,regular,web,1.0,4842.26,2026-01-17 14:03:09,2026-01-17 14:03:09,0,high
U000048,2026-01-08,2,value,web,0.0,0.0,0,0,0,low
U000049,2025-09-11,3,value,web,0.0,0.0,0,0,0,low
U000050,2025-11-06,1,premium,mobile,0.0,0.0,0,0,0,low
U000051,2026-01-14,2,value,mobile,0.0,0.0,0,0,0,low
U000052,2025-10-17,2,regular,web,0.0,0.0,0,0,0,low
U000053,2025-08-26,1,regular,web,1.0,4816.43,2025-11-26 05:37:14,2025-11-26 05:37:14,0,high
U000054,2025-10-13,3,regular,mobile,0.0,0.0,0,0,0,low
U000055,2025-07-04,3,regular,mobile,0.0,0.0,0,0,0,low
U000056,2025-07-17,3,premium,mobile,0.0,0.0,0,0,0,low
U000057,2025-06-24,2,value,web,1.0,3360.75,2025-12-21 11:28:23,2025-12-21 11:28:23,0,high
U000058,2025-12-26,2,value,mobile,1.0,13218.46,2025-11-30 03:40:46,2025-11-30 03:40:46,0,high
U000059,2025-11-11,1,regular,mobile,0.0,0.0,0,0,0,low
U000060,2025-08-25,1,regular,mobile,0.0,0.0,0,0,0,low
U000061,2025-08-08,1,value,mobile,0.0,0.0,0,0,0,low
U000062,2025-11-13,3,value,mobile,0.0,0.0,0,0,0,low
U000063,2026-01-02,3,value,mobile,0.0,0.0,0,0,0,low
U000064,2025-08-25,3,value,mobile,0.0,0.0,0,0,0,low
U000065,2025-08-29,2,value,web,1.0,2272.9,2025-12-01 23:31:23,2025-12-01 23:31:23,0,high
U000066,2025-12-19,2,premium,web,1.0,18171.94,2025-12-14 09:32:12,2025-12-14 09:32:12,0,high
U000067,2025-12-28,2,value,mobile,1.0,14428.02,2025-10-28 09:25:31,2025-10-28 09:25:31,0,high
U000068,2026-01-01,2,premium,mobile,0.0,0.0,0,0,0,low
U000069,2025-08-24,2,premium,web,0.0,0.0,0,0,0,low
U000070,2025-07-18,1,value,web,1.0,7896.56,2026-01-04 00:18:42,2026-01-04 00:18:42,0,high
U000071,2025-09-23,1,regular,mobile,0.0,0.0,0,0,0,low
U000072,2025-08-24,3,regular,mobile,0.0,0.0,0,0,0,low
U000073,2025-12-26,2,regular,mobile,0.0,0.0,0,0,0,low
U000074,2025-07-01,3,value,web,0.0,0.0,0,0,0,low
U000075,2025-11-03,1,value,mobile,0.0,0.0,0,0,0,low
U000076,2025-12-30,2,value,mobile,0.0,0.0,0,0,0,low
U000077,2026-01-14,1,regular,web,0.0,0.0,0,0,0,low
U000078,2025-11-06,2,premium,web,0.0,0.0,0,0,0,low
U000079,2026-01-08,1,regular,mobile,0.0,0.0,0,0,0,low
U000080,2025-07-09,1,regular,web,0.0,0.0,0,0,0,low
U000081,2025-09-06,3,premium,mobile,0.0,0.0,0,0,0,low
U000082,2025-06-25,2,regular,mobile,1.0,8970.92,2026-01-12 11:52:48,2026-01-12 11:52:48,0,high
U000083,2026-01-15,2,value,mobile,0.0,0.0,0,0,0,low
U000084,2025-12-30,2,premium,web,0.0,0.0,0,0,0,low
U000085,2025-06-29,2,regular,mobile,0.0,0.0,0,0,0,low
U000086,2025-06-27,2,value,web,0.0,0.0,0,0,0,low
U000087,2025-09-08,1,regular,mobile,0.0,0.0,0,0,0,low
U000088,2025-08-16,3,premium,web,0.0,0.0,0,0,0,low
U000089,2025-12-18,3,value,mobile,0.0,0.0,0,0,0,low
U000090,2025-07-27,3,regular,mobile,0.0,0.0,0,0,0,low
U000091,2025-12-06,2,value,web,0.0,0.0,0,0,0,low
U000092,2025-10-17,1,value,web,0.0,0.0,0,0,0,low
U000093,2025-09-10,3,value,mobile,1.0,10516.94,2026-01-16 07:19:58,2026-01-16 07:19:58,0,high
U000094,2025-07-24,2,regular,web,0.0,0.0,0,0,0,low
U000095,2026-01-18,1,premium,web,0.0,0.0,0,0,0,low
U000096,2025-10-31,2,value,web,0.0,0.0,0,0,0,low
U000097,2025-09-23,3,value,mobile,0.0,0.0,0,0,0,low
U000098,2025-09-09,2,value,mobile,0.0,0.0,0,0,0,low
U000099,2025-12-30,3,value,web,0.0,0.0,0,0,0,low
U000100,2025-12-12,3,regular,mobile,0.0,0.0,0,0,0,low
U000101,2025-12-10,1,regular,web,1.0,6894.45,2025-12-04 14:05:19,2025-12-04 14:05:19,0,high
U000102,2025-10-30,3,regular,web,0.0,0.0,0,0,0,low
U000103,2025-12-26,2,regular,web,0.0,0.0,0,0,0,low
U000104,2025-08-25,2,regular,web,0.0,0.0,0,0,0,low
U000105,2025-11-18,1,value,web,0.0,0.0,0,0,0,low
U000106,2025-09-16,3,value,mobile,0.0,0.0,0,0,0,low
U000107,2025-10-27,2,premium,web,0.0,0.0,0,0,0,low
U000108,2026-01-19,1,regular,mobile,0.0,0.0,0,0,0,low
U000109,2026-01-16,2,premium,web,0.0,0.0,0,0,0,low
U000110,2025-10-09,1,premium,web,1.0,7500.35,2025-12-16 01:26:55,2025-12-16 01:26:55,0,high
U000111,2025-10-21,1,regular,web,0.0,0.0,0,0,0,low
U000112,2025-12-28,2,premium,mobile,0.0,0.0,0,0,0,low
U000113,2026-01-16,2,regular,mobile,1.0,4696.73,2025-11-05 23:33:47,2025-11-05 23:33:47,0,high
U000114,2025-12-03,3,value,web,1.0,7094.32,2025-10-28 14:19:24,2025-10-28 14:19:24,0,high
U000115,2025-07-07,2,value,web,0.0,0.0,0,0,0,low
U000116,2025-08-30,3,value,web,0.0,0.0,0,0,0,low
U000117,2025-12-28,2,value,mobile,0.0,0.0,0,0,0,low
U000118,2025-12-01,2,regular,web,0.0,0.0,0,0,0,low
U000119,2025-11-26,2,regular,mobile,0.0,0.0,0,0,0,low
U000120,2025-11-10,2,regular,web,0.0,0.0,0,0,0,low
U000121,2025-09-18,3,regular,web,0.0,0.0,0,0,0,low
U000122,2025-09-16,2,value,mobile,0.0,0.0,0,0,0,low
U000123,2025-12-10,1,regular,web,1.0,13081.56,2026-01-14 22:52:55,2026-01-14 22:52:55,0,high
U000124,2025-08-24,2,regular,web,0.0,0.0,0,0,0,low
U000125,2025-11-14,3,value,mobile,0.0,0.0,0,0,0,low
U000126,2025-11-22,1,value,web,0.0,0.0,0,0,0,low
U000127,2025-12-17,2,value,web,0.0,0.0,0,0,0,low
U000128,2025-08-29,3,value,web,0.0,0.0,0,0,0,low
U000129,2025-11-26,3,regular,web,0.0,0.0,0,0,0,low
U000130,2025-07-15,3,regular,mobile,0.0,0.0,0,0,0,low
U000131,2025-07-22,2,regular,web,0.0,0.0,0,0,0,low
U000132,2025-09-19,2,value,mobile,0.0,0.0,0,0,0,low
U000133,2025-07-05,2,regular,mobile,0.0,0.0,0,0,0,low
U000134,2026-01-08,3,regular,mobile,0.0,0.0,0,0,0,low
U000135,2025-12-29,2,value,mobile,0.0,0.0,0,0,0,low
U000136,2025-07-03,3,regular,mobile,0.0,0.0,0,0,0,low
U000137,2025-12-16,2,regular,mobile,0.0,0.0,0,0,0,low
U000138,2025-10-08,2,regular,web,0.0,0.0,0,0,0,low
