order_id,session_id,user_id,order_ts,gross_amount,discount_amount,shipping_amount,net_amount,payment_method,revenue_outlier_flag,quantity,product_id,category,rating,total_cost,category_mix,margin_proxy
O0000001,S0000015,U000739,2026-01-12 14:51:51,4145.06,49.97,0.0,4095.09,UPI,0,5,3,Books,4.233333333333333,2580.4500000000003,"{'Beauty': 0, 'Books': 1, 'Electronics': 0, 'Fashion': 0, 'Home': 3, 'Sports': 1}",1514.6399999999999
O0000002,S0000060,,2025-11-19 07:56:21,4302.5,151.09,0.0,4151.41,NetBanking,0,5,3,Books,3.9,2819.7599999999998,"{'Beauty': 0, 'Books': 2, 'Electronics': 0, 'Fashion': 1, 'Home': 0, 'Sports': 2}",1331.65
O0000003,S0000073,,2025-12-08 05:40:42,7199.78,596.95,0.0,6602.83,NetBanking,0,2,1,Books,4.1,4502.68,"{'Beauty': 0, 'Books': 2, 'Electronics': 0, 'Fashion': 0, 'Home': 0, 'Sports': 0}",2100.1499999999996
O0000004,S0000081,U001896,2025-12-09 11:00:54,1262.26,75.4,117.27,1304.13,Wallet,0,2,1,Electronics,4.9,614.5,"{'Beauty': 0, 'Books': 0, 'Electronics': 2, 'Fashion': 0, 'Home': 0, 'Sports': 0}",689.6300000000001
O0000005,S0000084,U002032,2025-11-01 02:02:38,13486.98,1087.51,0.0,12399.47,UPI,0,7,4,Sports,4.1,8519.26,"{'Beauty': 0, 'Books': 0, 'Electronics': 0, 'Fashion': 1, 'Home': 0, 'Sports': 6}",3880.209999999999
O0000006,S0000099,U001732,2025-11-01 07:42:33,15390.66,1308.74,0.0,14081.92,COD,0,2,1,Beauty,3.8,9608.34,"{'Beauty': 2, 'Books': 0, 'Electronics': 0, 'Fashion': 0, 'Home': 0, 'Sports': 0}",4473.58
O0000007,S0000108,U000900,2025-10-25 19:37:15,8550.28,662.5,0.0,7887.78,Card,0,6,3,Fashion,4.3999999999999995,5416.18,"{'Beauty': 1, 'Books': 0, 'Electronics': 0, 'Fashion': 5, 'Home': 0, 'Sports': 0}",2471.5999999999995
O0000008,S0000129,U000899,2026-01-11 12:40:27,4714.45,346.55,0.0,4367.9,NetBanking,0,4,2,Fashion,3.9000000000000004,2885.94,"{'Beauty': 0, 'Books': 0, 'Electronics': 0, 'Fashion': 3, 'Home': 0, 'Sports': 1}",1481.9599999999996
O0000009,S0000154,,2026-01-04 13:54:35,7305.27,800.62,0.0,6504.65,Wallet,0,4,2,Beauty,3.8499999999999996,3963.25,"{'Beauty': 3, 'Books': 0, 'Electronics': 1, 'Fashion': 0, 'Home': 0, 'Sports': 0}",2541.3999999999996
O0000010,S0000165,U000486,2025-12-15 13:59:08,7847.5,429.33,0.0,7418.17,Wallet,0,4,2,Beauty,4.55,4508.48,"{'Beauty': 1, 'Books': 0, 'Electronics': 0, 'Fashion': 3, 'Home': 0, 'Sports': 0}",2909.6900000000005
O0000011,S0000170,U000601,2025-10-26 20:08:08,5515.6,593.48,0.0,4922.12,Card,0,5,4,Sports,3.9,3229.4,"{'Beauty': 0, 'Books': 0, 'Electronics': 1, 'Fashion': 2, 'Home': 0, 'Sports': 2}",1692.7199999999998
O0000012,S0000194,U001883,2025-12-27 19:04:46,5325.84,83.63,0.0,5242.21,Card,0,5,3,Beauty,3.9,3823.4799999999996,"{'Beauty': 5, 'Books': 0, 'Electronics': 0, 'Fashion': 0, 'Home': 0, 'Sports': 0}",1418.7300000000005
O0000013,S0000199,,2025-12-05 18:52:42,1175.83,150.72,73.49,1098.6,Wallet,0,1,1,Books,4.2,754.73,"{'Beauty': 0, 'Books': 1, 'Electronics': 0, 'Fashion': 0, 'Home': 0, 'Sports': 0}",343.8699999999999
O0000014,S0000210,,2025-12-24 13:48:46,6381.79,679.72,0.0,5702.07,COD,0,5,3,Home,3.9333333333333336,3335.71,"{'Beauty': 0, 'Books': 0, 'Electronics': 0, 'Fashion': 0, 'Home': 4, 'Sports': 1}",2366.3599999999997
O0000015,S0000212,U002058,2025-12-14 08:53:35,6305.04,442.11,0.0,5862.93,UPI,0,6,3,Electronics,3.9333333333333336,4194.9,"{'Beauty': 0, 'Books': 0, 'Electronics': 4, 'Fashion': 2, 'Home': 0, 'Sports': 0}",1668.0300000000007
O0000016,S0000214,U000816,2025-12-09 17:08:41,12398.07,916.77,0.0,11481.3,Card,0,6,4,Sports,4.475,7937.7699999999995,"{'Beauty': 0, 'Books': 0, 'Electronics': 1, 'Fashion': 0, 'Home': 0, 'Sports': 5}",3543.5299999999997
O0000017,S0000232,U001851,2025-10-30 01:24:17,9975.91,336.48,0.0,9639.43,Card,0,9,4,Home,3.725,5604.67,"{'Beauty': 2, 'Books': 0, 'Electronics': 0, 'Fashion': 0, 'Home': 5, 'Sports': 2}",4034.76
O0000018,S0000233,U002028,2026-01-16 21:31:59,10736.71,0.0,0.0,10736.71,Card,0,6,3,Electronics,4.233333333333333,5973.969999999999,"{'Beauty': 2, 'Books': 0, 'Electronics': 4, 'Fashion': 0, 'Home': 0, 'Sports': 0}",4762.74
O0000019,S0000253,U001569,2025-10-24 15:16:41,14907.5,673.46,0.0,14234.04,Card,0,8,3,Books,4.1000000000000005,9124.98,"{'Beauty': 0, 'Books': 3, 'Electronics': 0, 'Fashion': 3, 'Home': 2, 'Sports': 0}",5109.060000000001
O0000020,S0000367,U000257,2026-01-16 21:38:10,2492.46,157.43,0.0,2335.03,Wallet,0,2,1,Electronics,5.0,1423.72,"{'Beauty': 0, 'Books': 0, 'Electronics': 2, 'Fashion': 0, 'Home': 0, 'Sports': 0}",911.3100000000002
