session_id,user_id,session_start_ts,device,channel,campaign_id,variant,is_new_user,has_add_to_cart,has_begin_checkout,has_landing_view,has_payment_attempt,has_product_view,has_purchase,time_to_cart_sec,time_to_checkout_sec,time_to_purchase_sec,session_duration_sec,net_amount,gross_amount,discount_amount
S0000525,U000150,2025-10-21 10:36:16,mobile,organic,C016,0,0,0,0,1,0,1,0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
S0006517,U001767,2025-10-21 10:41:07,mobile,email,C013,0,0,0,0,1,0,1,0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
S0002798,U001645,2025-10-21 10:50:45,mobile,paid_social,C027,0,1,1,0,1,0,1,0,278.0,0.0,0.0,160.0,0.0,0.0,0.0
S0003509,0,2025-10-21 11:00:12,mobile,organic,C023,0,0,0,0,1,0,1,0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
S0000502,U001262,2025-10-21 11:32:49,mobile,search,C015,0,0,0,0,1,0,1,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
S0008343,U001442,2025-10-21 11:46:23,web,search,C040,B,1,1,1,1,1,1,0,225.0,262.0,0.0,191.0,0.0,0.0,0.0
S0000174,U000703,2025-10-21 11:48:34,mobile,paid_social,C038,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0006213,U000973,2025-10-21 11:58:35,mobile,organic,C031,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0004299,U001433,2025-10-21 12:04:00,web,email,C032,B,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0005526,U001835,2025-10-21 12:04:09,mobile,referral,C007,0,0,1,0,1,0,1,0,224.0,0.0,0.0,153.0,0.0,0.0,0.0
S0001227,U000346,2025-10-21 12:49:06,web,organic,C027,A,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0006017,U000218,2025-10-21 13:02:24,mobile,search,C037,0,0,1,0,1,0,1,0,261.0,0.0,0.0,213.0,0.0,0.0,0.0
S0007652,U000581,2025-10-21 13:08:51,web,organic,C023,0,0,1,1,1,1,1,0,160.0,255.0,0.0,323.0,0.0,0.0,0.0
S0000358,U000012,2025-10-21 13:19:38,web,search,C011,0,1,1,0,1,0,1,0,124.0,0.0,0.0,116.0,0.0,0.0,0.0
S0004719,U000739,2025-10-21 13:25:18,mobile,paid_social,C009,0,0,0,0,1,0,1,0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
S0007657,U002181,2025-10-21 13:25:23,web,organic,C007,A,1,0,0,1,0,1,0,0.0,0.0,0.0,103.0,0.0,0.0,0.0
S0007226,0,2025-10-21 13:32:04,mobile,paid_social,C001,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0006521,U001825,2025-10-21 13:50:20,mobile,organic,C034,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002084,U001387,2025-10-21 13:58:10,mobile,search,C038,0,0,0,0,1,0,1,0,0.0,0.0,0.0,86.0,0.0,0.0,0.0
S0000022,U000592,2025-10-21 14:18:04,mobile,paid_social,C007,0,0,0,0,1,0,1,0,0.0,0.0,0.0,71.0,0.0,0.0,0.0
S0006228,U000256,2025-10-21 14:34:15,web,paid_social,C011,B,0,1,1,1,1,1,1,173.0,239.0,422.0,413.0,2028.91,2121.74,92.83
S0006243,U001043,2025-10-21 15:12:00,mobile,search,C036,0,0,0,0,1,0,1,0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
S0003373,U001828,2025-10-21 15:31:17,web,referral,C008,A,1,0,0,1,0,1,0,0.0,0.0,0.0,54.0,0.0,0.0,0.0
S0008298,U001935,2025-10-21 15:38:41,web,organic,C037,B,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0004564,U002174,2025-10-21 15:53:34,web,email,C027,A,1,1,1,1,1,1,0,222.0,336.0,0.0,297.0,0.0,0.0,0.0
S0007866,U000009,2025-10-21 16:08:47,mobile,organic,C022,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002725,U000772,2025-10-21 16:13:23,web,organic,C018,A,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0003101,U001765,2025-10-21 16:15:19,web,organic,C006,B,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0000520,U002034,2025-10-21 16:33:21,web,paid_social,C037,B,1,1,0,1,0,1,0,110.0,0.0,0.0,94.0,0.0,0.0,0.0
S0008191,U000383,2025-10-21 16:36:16,mobile,search,C002,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0007090,U000308,2025-10-21 16:36:37,web,search,C016,B,0,0,0,1,0,1,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
S0005899,0,2025-10-21 16:41:19,web,email,C026,0,0,1,1,1,1,1,0,276.0,373.0,0.0,289.0,0.0,0.0,0.0
S0006079,U002092,2025-10-21 16:41:30,mobile,referral,C011,0,1,0,0,1,0,1,0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
S0005877,U001190,2025-10-21 16:45:05,mobile,search,C039,0,1,1,1,1,1,1,0,199.0,302.0,0.0,277.0,0.0,0.0,0.0
S0000633,U001718,2025-10-21 17:06:52,mobile,organic,C006,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0005175,U001522,2025-10-21 17:08:33,web,organic,C001,B,1,0,0,1,0,1,0,0.0,0.0,0.0,105.0,0.0,0.0,0.0
S0006324,U000535,2025-10-21 17:13:25,web,search,C032,B,1,0,0,1,0,1,0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
S0007415,U000359,2025-10-21 17:23:51,mobile,search,C022,0,1,0,0,1,0,1,0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
